SKU,Category (Drop Down),Sub Category (drop Down),Product Name,Features,Pricing,Description HTML,Images
ONG001,Sanitary Wares,Water Closet,Luxurious Integrated Toilet,"Luxury, elegant and seamless design
 Hybrid ecology system.
 Water saving dual flush 3.8L/3L.
 Minimum required water pressure only at 0.05mpa (dynamic).
 New tornado flush system. 360 degree cleaning power reaches every spot using less water from newly developed bowl.
 Tornado flush waterjet outlet is newly placed in hidden position to present a cleaner aesthetics.
 New rimless design bowl. Simply beautiful in shape with no shaded area make cleaning easier.
 Air-in wonderwave uses air rich water droplets to produce comfortable cleaning sensation.
 Build-in with motion sensor - microwave technology.
 Heated seat with temperature control.
 Premist, a fine spray of mist making it difficult for dirt to adhere.
 EWATER+ keeps toilet bowl and nozzle clean by preventing bacterial with sanitizing effect.
 Auto powerful deodorizer activates after every usage.
 Adjustable warm air drying.",500,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td width=""30%""><strong>Flush System</strong></td>
 <td width=""70%"">Tornado Flush</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Use</strong></td>
 <td width=""70%"">3.8L/3L</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Rough-in</strong></td>
 <td width=""70%"">305mm</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Bowl Shape</strong></td>
 <td width=""70%"">Elongated</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Pressure</strong></td>
 <td width=""70%"">0.05MPa~0.75MPa</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Power Rating</strong></td>
 <td width=""70%"">220~240V, 50/60Hz, 820~839W</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Length of Power Cord</strong></td>
 <td width=""70%"">1.2m</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Material</strong></td>
 <td width=""70%"">Bowl - Vitreous China<br>Seat &amp; Cover - Plastic<br>Remote Controller - Aluminium</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Size</strong></td>
 <td width=""70%"">
 <p>(W) 386mm<br>(D) 689mm<br>(H) 512mm</p>
 </td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01393.jpg
ONG002,Sanitary Wares,Water Closet,Avante One Piece,"Styling with concealed trapway for easy cleaning.
 Upgrade with a softclose seat & cover or washlet.",600,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td width=""30%""><strong>Flush System</strong></td>
 <td width=""70%"">Wash Down</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Use</strong></td>
 <td width=""70%"">6L</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Rough-in</strong></td>
 <td width=""70%"">(H) 180mm</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Bowl Shape</strong></td>
 <td width=""70%"">Elongated</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Pressure</strong></td>
 <td width=""70%"">0.05MPa~0.75MPa</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Size</strong></td>
 <td width=""70%"">(W) 510mm<br>(D) 750mm<br>(H) 605mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01397.jpg
ONG003,Sanitary Wares,Water Closet,One Piece Toilet,"Rimless design bowl ensures easy cleaning and ultimate hygiene.
 Dual flush system.
 Water saving.",600,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td width=""30%""><strong>Flush&nbsp;System</strong></td>
 <td width=""70%"">Tornado Flush</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Use</strong></td>
 <td width=""70%"">4.5L/3L</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Trap Type</strong></td>
 <td width=""70%"">S-Trap</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Rough-in</strong></td>
 <td width=""70%"">305mm</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Bowl Shape</strong></td>
 <td width=""70%"">Elongated</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Pressure</strong></td>
 <td width=""70%"">0.05MPa~0.70MPa</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Size</strong></td>
 <td width=""70%"">(W) 387mm<br>(D) 700mm<br>(H) 699mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01396.jpg
ONG004,Sanitary Wares,Water Closet,Close Coupled Toilet,"Stylish design.
 Dual flush system.",600,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td width=""30%""><strong>Flush System</strong></td>
 <td width=""70%"">Wash Down</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Use</strong></td>
 <td width=""70%"">6L/3L</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Trap Type</strong></td>
 <td width=""70%"">S-Trap</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Rough-in</strong></td>
 <td width=""70%"">305mm</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Bowl Shape</strong></td>
 <td width=""70%"">Elongated</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Pressure</strong></td>
 <td width=""70%"">0.05MPa~0.75MPa</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Size</strong></td>
 <td width=""70%"">(W) 400mm<br>(D) 695mm<br>(H) 775mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01915.png
ONG005,Sanitary Wares,Water Closet,Washlet,"EWATER+ spreads out and keeps clean toilet bowl
 
 
 Auto lid opening and closing.
 
 
 Maximized comfort function with new wide front and pulsating cleansing.
 
 New auto soft light function usable for night time usage..",700,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"" valign=""top"">
 <td style=""height: 13px;"" width=""30%""><strong>Bowl Shape</strong></td>
 <td style=""height: 13px;"" width=""70%"">D-Shape</td>
 </tr>
 <tr style=""height: 13px;"" valign=""top"">
 <td style=""height: 13px;"" width=""30%""><strong>Water Pressure</strong></td>
 <td style=""height: 13px;"" width=""70%"">0.05MPa~0.75MPa</td>
 </tr>
 <tr style=""height: 13.8px;"" valign=""top"">
 <td style=""height: 13.8px;"" width=""30%""><strong>Power Rating</strong></td>
 <td style=""height: 13.8px;"" width=""70%"">220V, 50/60Hz, 830W</td>
 </tr>
 <tr style=""height: 13.8px;"" valign=""top"">
 <td style=""height: 13.8px;"" width=""30%""><strong>Length of Power Cord</strong></td>
 <td style=""height: 13.8px;"" width=""70%"">1.2m</td>
 </tr>
 <tr style=""height: 13px;"" valign=""top"">
 <td style=""height: 13px;"" width=""30%""><strong>Material</strong></td>
 <td style=""height: 13px;"" width=""70%"">Plastic</td>
 </tr>
 <tr style=""height: 40px;"" valign=""top"">
 <td style=""height: 40px;"" width=""30%""><strong>Size</strong></td>
 <td style=""height: 40px;"" width=""70%"">(W) 390mm<br>(D) 520mm<br>(H)&nbsp;127mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01402.jpg
ONG006,Sanitary Wares,Water Closet,Slim Smart Washer II,"Two wash systems (Bidet and Wash).
 
 
 Self-cleaning nozzle.
 
 
 Nozzle shutter.
 
 
 Soft close & quick release.
 
 
 Adjustable water pressure.
 
 
 Control in one knob.",800,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td width=""30%""><strong>Shape</strong></td>
 <td width=""70%"">Elongated</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Overall Dimensions</strong></td>
 <td width=""70%"">(L) 500mm<br>(W) 370mm<br>(H) 55mm</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Net Weight</strong></td>
 <td width=""70%"">2.3kg</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Water Supply</strong></td>
 <td width=""70%"">Direct from Water Pipes</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Wash Water Flow</strong></td>
 <td width=""70%"">0.4-1.8L/min</td>
 </tr>
 <tr valign=""top"">
 <td width=""30%""><strong>Bidet Water Flow</strong></td>
 <td width=""70%"">0.4-1.8L/min</td>
 </tr>
 <tr valign=""top"">
 <td rowspan=""2"" width=""30%""><strong>Water Pressure Range</strong></td>
 <td width=""70%"">Static Pressure: 0.07~0.6Mpa</td>
 </tr>
 <tr valign=""top"">
 <td width=""70%"">Dynamic Pressure: Above 0.03Mpa</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01388.jpg
ONG007,Sanitary Wares,Water Closet,Erika One Piece Toilet,Basin Dimension: (L) 710mm x (W) 370mm x (H) 745mm.,1200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Fixing Kit</strong></td>
 <td>Included</td>
 </tr>
 <tr>
 <td><strong>Flushing System</strong></td>
 <td>Washdown</td>
 </tr>
 <tr>
 <td><strong>Installation Type</strong></td>
 <td>Floorstanding</td>
 </tr>
 <tr>
 <td><strong>Rim Type</strong></td>
 <td>Closed</td>
 </tr>
 <tr>
 <td><strong>P-trap Setout</strong></td>
 <td>250mm</td>
 </tr>
 <tr>
 <td><strong>Shape</strong></td>
 <td>Round</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01528.jpeg
ONG008,Sanitary Wares,Water Closet,Lucca One Piece Toilet,Basin Dimension: (L) 700mm x (W) 365mm x (H) 800mm.,1100,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Fixing Kit</strong></td>
 <td>Included</td>
 </tr>
 <tr>
 <td><strong>Flushing System</strong></td>
 <td>Washdown</td>
 </tr>
 <tr>
 <td><strong>Installation Type</strong></td>
 <td>Floorstanding</td>
 </tr>
 <tr>
 <td><strong>S-trap Min Setout</strong></td>
 <td>250mm</td>
 </tr>
 <tr>
 <td><strong>Shape</strong></td>
 <td>Round</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01531.jpeg
ONG009,Sanitary Wares,Water Closet,Pisa One Piece Toilet,Basin Dimension: (L) 700mm x (W) 368mm x (H) 752mm.,900,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Fixing Kit</strong></td>
 <td>Not Included</td>
 </tr>
 <tr>
 <td><strong>Flushing System</strong></td>
 <td>Washdown</td>
 </tr>
 <tr>
 <td><strong>Installation Type</strong></td>
 <td>Floorstanding</td>
 </tr>
 <tr>
 <td><strong>Outlet Type</strong></td>
 <td>Dual (Vario)</td>
 </tr>
 <tr>
 <td><strong>Rim Type</strong></td>
 <td>Closed</td>
 </tr>
 <tr>
 <td><strong>P-trap Setout</strong></td>
 <td>180mm</td>
 </tr>
 <tr>
 <td><strong>S-trap Min Setout</strong></td>
 <td>250mm</td>
 </tr>
 <tr>
 <td><strong>S-trap Max Setout</strong></td>
 <td>305mm</td>
 </tr>
 <tr>
 <td><strong>Shape</strong></td>
 <td>Round</td>
 </tr>
 <tr>
 <td><strong>Style</strong></td>
 <td>Neutral</td>
 </tr>
 <tr>
 <td><strong>Water Inlet System</strong></td>
 <td>Bottom Inlet</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01529.jpeg
ONG010,Sanitary Wares,Water Closet,Bergamo Square Close Coupled Toilet,Basin Dimension: (L) 635mm x (W) 365mm (H) 770mm.,1000,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Fixing Kit</strong></td>
 <td>Included</td>
 </tr>
 <tr>
 <td><strong>Flushing System</strong></td>
 <td>Washdown</td>
 </tr>
 <tr>
 <td><strong>Installation Type</strong></td>
 <td>Floorstanding</td>
 </tr>
 <tr>
 <td><strong>Outlet Type</strong></td>
 <td>Vertical</td>
 </tr>
 <tr>
 <td><strong>Rim Type</strong></td>
 <td>Closed</td>
 </tr>
 <tr>
 <td><strong>S-trap Min Setout</strong></td>
 <td>200mm</td>
 </tr>
 <tr>
 <td><strong>Shape</strong></td>
 <td>Square</td>
 </tr>
 <tr>
 <td><strong>Style</strong></td>
 <td>Neutral</td>
 </tr>
 <tr>
 <td><strong>Water Inlet System</strong></td>
 <td>Bottom Inlet</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01523.jpeg
